"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2004","2004","PC","Percentage","0","Units",,,6.924316,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2005","2005","PC","Percentage","0","Units",,,6.637885,"B","Break"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2006","2006","PC","Percentage","0","Units",,,6.989387,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2007","2007","PC","Percentage","0","Units",,,5.827914,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2008","2008","PC","Percentage","0","Units",,,6.978548,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2009","2009","PC","Percentage","0","Units",,,5.355777,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2010","2010","PC","Percentage","0","Units",,,5.889601,"B","Break"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2011","2011","PC","Percentage","0","Units",,,4.756214,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2012","2012","PC","Percentage","0","Units",,,3.857075,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2013","2013","PC","Percentage","0","Units",,,4.688244,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2014","2014","PC","Percentage","0","Units",,,4.782299,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2015","2015","PC","Percentage","0","Units",,,3.877069,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","MEN","Men","20-29","20-29","2016","2016","PC","Percentage","0","Units",,,4.663698,,
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2000","2000","PC","Percentage","0","Units",,,5.003032,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2002","2002","PC","Percentage","0","Units",,,3.824037,"N","Non-publishable, but non-confidential value"
"CHE","Switzerland","ENT12","Share of self-employed in the 20-29 year old population of employed","WOMEN","Women","20-29","20-29","2003","2003","PC","Percentage","0","Units",,,4.267931,"N","Non-publishable, but non-confidential value"
