"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,0,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,0,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,0,"C","Non-publishable and confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,0,"C","Non-publishable and confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,0,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,0,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,4.147465,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,5.479453,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,4.118993,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,3.333333,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,0,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,3.910614,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,4,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,5.376344,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,5.988024,"N","Non-publishable, but non-confidential value"
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2015","2015","PC","Percentage","0","Units",,,8.024691,,
"EST","Estonia","ENT13","Share of self-employed in the population of employed with foreign-citizenship","WOMEN","Women","TOTAL","Total","2016","2016","PC","Percentage","0","Units",,,7.250756,"N","Non-publishable, but non-confidential value"
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,15.75876,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,18.05214,"B","Break"
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,17.78132,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,14.32553,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,15.74631,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,16.92308,"B","Break"
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,19.14672,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,19.60038,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,18.81096,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,19.59335,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,19.54075,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,19.23408,"B","Break"
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,19.77052,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,20.83162,,
"BEL","Belgium","ENT13","Share of self-employed in the population of employed with foreign-citizenship","MEN","Men","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,20.43356,,
